Sub-Region,Alpha3Code,Alpha Ctry Code,Total Cases,Country / territory,Country name,Date,Deaths,EpiWeek onset,Imported cases,Laboratory confirmed cases,Nombre Pais,NumCtryCode (Countries codes),Num Ctry Code,Number of GBS associated with Zika,Number of GBS,Number of Records,Number of microcephalies associated,Other Neuro complications,Other source of transmission,Pregnant women,Report Epi Week,Severe cases,Sovereign,Status,Suspected cases (bin),Suspected cases,Total Cases (bin),Year
Non Latin Caribbean,SXM,SXM,0%,Sint Maarten,Sint Maarten,"November, 2015",0,0,0,0,Isla de San Martín (Holanda),534,534,0,0,1,0,0,0,0,45,0,Netherlands,Associated Member,0K,0,0%,2015
Andean,BOL,BOL,0%,Bolivia,Bolivia,"November, 2015",0,0,0,0,Bolivia,68,68,0,0,1,0,0,0,0,44,0,Bolivia,Member State,0K,0,0%,2015
Andean,COL,COL,41400%,Colombia,Colombia,"November, 2015",0,0,0,52,Colombia,170,170,0,0,1,0,0,0,0,44,0,Colombia,Member State,0K,362,0%,2015
Andean,ECU,ECU,0%,Ecuador,Ecuador,"November, 2015",0,0,0,0,Ecuador,218,218,0,0,1,0,0,0,0,44,0,Ecuador,Member State,0K,0,0%,2015
Andean,VEN,VEN,0%,Venezuela,Venezuela,"November, 2015",0,0,0,0,Venezuela,862,862,0,0,1,0,0,0,0,44,0,Venezuela,Member State,0K,0,0%,2015
Andean,BOL,BOL,0%,Bolivia,Bolivia,"November, 2015",0,0,0,0,Bolivia,68,68,0,0,1,0,0,0,0,45,0,Bolivia,Member State,0K,0,0%,2015
Andean,COL,COL,83600%,Colombia,Colombia,"November, 2015",0,0,0,95,Colombia,170,170,0,2,1,0,0,0,0,45,0,Colombia,Member State,0K,741,0%,2015
Andean,ECU,ECU,0%,Ecuador,Ecuador,"November, 2015",0,0,0,0,Ecuador,218,218,0,0,1,0,0,0,0,45,0,Ecuador,Member State,0K,0,0%,2015
Andean,VEN,VEN,0%,Venezuela,Venezuela,"November, 2015",0,0,0,0,Venezuela,862,862,0,0,1,0,0,0,0,45,0,Venezuela,Member State,0K,0,0%,2015
Central America,CRI,COR,0%,Costa Rica,Costa Rica,"November, 2015",0,0,0,0,Costa Rica,188,188,0,0,1,0,0,0,0,44,0,Costa Rica,Member State,0K,0,0%,2015
Central America,SLV,SLV,0%,El Salvador,El Salvador,"November, 2015",0,0,0,0,El Salvador,222,222,0,0,1,0,0,0,0,44,0,El Salvador,Member State,0K,0,0%,2015
Central America,GTM,GTM,0%,Guatemala,Guatemala,"November, 2015",0,0,0,0,Guatemala,320,320,0,0,1,0,0,0,0,44,0,Guatemala,Member State,0K,0,0%,2015
Central America,HND,HND,0%,Honduras,Honduras,"November, 2015",0,0,0,0,Honduras,340,340,0,0,1,0,0,0,0,44,0,Honduras,Member State,0K,0,0%,2015
Central America,NIC,NIC,0%,Nicaragua,Nicaragua,"November, 2015",0,0,0,0,Nicaragua,558,558,0,0,1,0,0,0,0,44,0,Nicaragua,Member State,0K,0,0%,2015
Central America,PAN,PAN,0%,Panama,Panama,"November, 2015",0,0,0,0,Panamá,591,591,0,0,1,0,0,0,0,44,0,Panama,Member State,0K,0,0%,2015
Central America,CRI,COR,0%,Costa Rica,Costa Rica,"November, 2015",0,0,0,0,Costa Rica,188,188,0,0,1,0,0,0,0,45,0,Costa Rica,Member State,0K,0,0%,2015
Central America,SLV,SLV,0%,El Salvador,El Salvador,"November, 2015",0,0,0,0,El Salvador,222,222,0,0,1,0,0,0,0,45,0,El Salvador,Member State,0K,0,0%,2015
Central America,GTM,GTM,0%,Guatemala,Guatemala,"November, 2015",0,0,0,0,Guatemala,320,320,0,0,1,0,0,0,0,45,0,Guatemala,Member State,0K,0,0%,2015
Central America,HND,HND,0%,Honduras,Honduras,"November, 2015",0,0,0,0,Honduras,340,340,0,0,1,0,0,0,0,45,0,Honduras,Member State,0K,0,0%,2015
Central America,NIC,NIC,0%,Nicaragua,Nicaragua,"November, 2015",0,0,0,0,Nicaragua,558,558,0,0,1,0,0,0,0,45,0,Nicaragua,Member State,0K,0,0%,2015
Central America,PAN,PAN,0%,Panama,Panama,"November, 2015",0,0,0,0,Panamá,591,591,0,0,1,0,0,0,0,45,0,Panama,Member State,0K,0,0%,2015
Latin Caribbean,DOM,DOM,0%,Dominican Republic,Dominican Republic,"November, 2015",0,0,0,0,República Dominicana,214,214,0,0,1,0,0,0,0,44,0,Dominican Republic,Member State,0K,0,0%,2015
Latin Caribbean,HTI,HTI,0%,Haiti,Haiti,"November, 2015",0,0,0,0,Haití,332,332,0,0,1,0,0,0,0,44,0,Haiti,Member State,0K,0,0%,2015
Latin Caribbean,HTI,HTI,0%,Haiti,Haiti,"November, 2015",0,0,0,0,Haití,332,332,0,0,1,0,0,0,0,44,0,Haiti,Member State,0K,0,0%,2015
Latin Caribbean,DOM,DOM,0%,Dominican Republic,Dominican Republic,"November, 2015",0,0,0,0,República Dominicana,214,214,0,0,1,0,0,0,0,45,0,Dominican Republic,Member State,0K,0,0%,2015
Latin Caribbean,HTI,HTI,0%,Haiti,Haiti,"November, 2015",0,0,0,0,Haití,332,332,0,0,1,0,0,0,0,45,0,Haiti,Member State,0K,0,0%,2015
Non Latin Caribbean,BRB,BRB,0%,Barbados,Barbados,"November, 2015",0,0,0,0,Barbados,52,52,0,0,1,0,0,0,0,44,0,Barbados,Member State,0K,0,0%,2015
Non Latin Caribbean,GUY,GUY,0%,Guyana,Guyana,"November, 2015",0,0,0,0,Guyana,328,328,0,0,1,0,0,0,0,44,0,Guyana,Member State,0K,0,0%,2015
Non Latin Caribbean,JAM,JAM,0%,Jamaica,Jamaica,"November, 2015",0,0,0,0,Jamaica,388,388,0,0,1,0,0,0,0,44,0,Jamaica,Member State,0K,0,0%,2015
Non Latin Caribbean,VCT,VCT,0%,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,"November, 2015",0,0,0,0,San Vicente y las Granadinas,670,670,0,0,1,0,0,0,0,44,0,St. Vincent and the Grenadines,Member State,0K,0,0%,2015
Non Latin Caribbean,SUR,SUR,0%,Suriname,Suriname,"November, 2015",0,0,0,0,Suriname,740,740,0,0,1,0,0,0,0,44,0,Suriname,Member State,0K,0,0%,2015
Non Latin Caribbean,SUR,SUR,200%,Suriname,Suriname,"November, 2015",0,0,0,2,Suriname,740,740,0,0,1,0,0,0,0,44,0,Suriname,Member State,0K,0,0%,2015
Non Latin Caribbean,TTO,TTO,0%,Trinidad and Tobago,Trinidad and Tobago,"November, 2015",0,0,0,0,Trinidad y Tobago,780,780,0,0,1,0,0,0,0,44,0,Trinidad and Tobago,Member State,0K,0,0%,2015
Non Latin Caribbean,BRB,BRB,0%,Barbados,Barbados,"November, 2015",0,0,0,0,Barbados,52,52,0,0,1,0,0,0,0,45,0,Barbados,Member State,0K,0,0%,2015
Non Latin Caribbean,GUY,GUY,0%,Guyana,Guyana,"November, 2015",0,0,0,0,Guyana,328,328,0,0,1,0,0,0,0,45,0,Guyana,Member State,0K,0,0%,2015
Non Latin Caribbean,JAM,JAM,0%,Jamaica,Jamaica,"November, 2015",0,0,0,0,Jamaica,388,388,0,0,1,0,0,0,0,45,0,Jamaica,Member State,0K,0,0%,2015
Non Latin Caribbean,VCT,VCT,0%,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,"November, 2015",0,0,0,0,San Vicente y las Granadinas,670,670,0,0,1,0,0,0,0,45,0,St. Vincent and the Grenadines,Member State,0K,0,0%,2015
Non Latin Caribbean,SUR,SUR,0%,Suriname,Suriname,"November, 2015",0,0,0,0,Suriname,740,740,0,0,1,0,0,0,0,45,0,Suriname,Member State,0K,0,0%,2015
Non Latin Caribbean,TTO,TTO,0%,Trinidad and Tobago,Trinidad and Tobago,"November, 2015",0,0,0,0,Trinidad y Tobago,780,780,0,0,1,0,0,0,0,45,0,Trinidad and Tobago,Member State,0K,0,0%,2015
North America,MEX,MEX,0%,Mexico,Mexico,"November, 2015",0,0,0,0,México,484,484,0,0,1,0,0,0,0,44,0,Mexico,Member State,0K,0,0%,2015
North America,MEX,MEX,0%,Mexico,Mexico,"November, 2015",0,0,0,0,México,484,484,0,0,1,0,0,0,0,45,0,Mexico,Member State,0K,0,0%,2015
South Cone,BRA,BRA,0%,Brazil,Brazil,"November, 2015",0,0,0,0,Brasil,76,76,0,0,1,0,0,0,0,44,0,Brazil,Member State,0K,0,0%,2015
South Cone,PRY,PRY,0%,Paraguay,Paraguay,"November, 2015",0,0,0,0,Paraguay,600,600,0,0,1,0,0,0,0,44,0,Paraguay,Member State,0K,0,0%,2015
South Cone,BRA,BRA,0%,Brazil,Brazil,"November, 2015",0,0,0,0,Brasil,76,76,0,0,1,0,0,0,0,45,0,Brazil,Member State,0K,0,0%,2015
South Cone,BRA,BRA,4717200%,Brazil,Brazil,"November, 2015",0,0,0,0,Brasil,76,76,0,0,1,0,0,0,0,45,0,Brazil,Member State,47K,47172,4498200%,2015
South Cone,PRY,PRY,0%,Paraguay,Paraguay,"November, 2015",0,0,0,0,Paraguay,600,600,0,0,1,0,0,0,0,45,0,Paraguay,Member State,0K,0,0%,2015
Non Latin Caribbean,VIR,VIR,0%,United States Virgin Islands,United States Virgin Islands,"November, 2015",0,0,0,0,Islas Vírgenes (EUA),850,850,0,0,1,0,0,0,0,44,0,United States of America,Other,0K,0,0%,2015
Non Latin Caribbean,VIR,VIR,0%,United States Virgin Islands,United States Virgin Islands,"November, 2015",0,0,0,0,Islas Vírgenes (EUA),850,850,0,0,1,0,0,0,0,45,0,United States of America,Other,0K,0,0%,2015
Latin Caribbean,MAF,MAF,0%,Saint Martin,Saint Martin,"November, 2015",0,0,0,0,Isla de San Martín (Francia),663,663,0,0,1,0,0,0,0,44,0,France,Overseas collectivities,0K,0,0%,2015
Latin Caribbean,MAF,MAF,0%,Saint Martin,Saint Martin,"November, 2015",0,0,0,0,Isla de San Martín (Francia),663,663,0,0,1,0,0,0,0,45,0,France,Overseas collectivities,0K,0,0%,2015
Latin Caribbean,GLP,GLP,0%,Guadeloupe,Guadeloupe,"November, 2015",0,0,0,0,Guadalupe,312,312,0,0,1,0,0,0,0,44,0,France,Participating State \Territory,0K,0,0%,2015
Latin Caribbean,GUF,GUF,0%,French Guiana,French Guiana,"November, 2015",0,0,0,0,Guayana Francesa,254,254,0,0,1,0,0,0,0,44,0,France,Participating State \Territory,0K,0,0%,2015
Latin Caribbean,MTQ,MTQ,0%,Martinique,Martinique,"November, 2015",0,0,0,0,Martinica,474,474,0,0,1,0,0,0,0,44,0,France,Participating State \Territory,0K,0,0%,2015
Latin Caribbean,GLP,GLP,0%,Guadeloupe,Guadeloupe,"November, 2015",0,0,0,0,Guadalupe,312,312,0,0,1,0,0,0,0,45,0,France,Participating State \Territory,0K,0,0%,2015
Latin Caribbean,GUF,GUF,0%,French Guiana,French Guiana,"November, 2015",0,0,0,0,Guayana Francesa,254,254,0,0,1,0,0,0,0,45,0,France,Participating State \Territory,0K,0,0%,2015
Latin Caribbean,MTQ,MTQ,0%,Martinique,Martinique,"November, 2015",0,0,0,0,Martinica,474,474,0,0,1,0,0,0,0,45,0,France,Participating State \Territory,0K,0,0%,2015
Non Latin Caribbean,BES,BES,0%,Bonaire,"Bonaire, Saint Eustatius and Saba","November, 2015",0,0,0,0,"Bonaire, San Eustaquio y Saba",535,535,0,0,1,0,0,0,0,44,0,Netherlands,Participating State \Territory,0K,0,0%,2015
Non Latin Caribbean,BES,BES,0%,Bonaire,"Bonaire, Saint Eustatius and Saba","November, 2015",0,0,0,0,"Bonaire, San Eustaquio y Saba",535,535,0,0,1,0,0,0,0,45,0,Netherlands,Participating State \Territory,0K,0,0%,2015
Latin Caribbean,HTI,HTI,0%,Haiti,Haiti,"November, 2015",0,0,0,0,Haití,332,332,0,0,1,0,0,0,0,45,0,Haiti,Member State,0K,0,0%,2015
Latin Caribbean,PRI,PRI,0%,Puerto Rico,Puerto Rico,"November, 2015",0,0,0,0,Puerto Rico,630,630,0,0,1,0,0,0,0,46,0,United States,Associated Member,0K,0,0%,2015
Non Latin Caribbean,ABW,ABW,0%,Aruba,Aruba,"November, 2015",0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,46,0,Netherlands,Associated Member,0K,0,0%,2015
Non Latin Caribbean,CUW,CUW,0%,Curacao,Curacao,"November, 2015",0,0,0,0,Curazao,531,531,0,0,1,0,0,0,0,46,0,Netherlands,Associated Member,0K,0,0%,2015
Non Latin Caribbean,SXM,SXM,0%,Sint Maarten,Sint Maarten,"November, 2015",0,0,0,0,Isla de San Martín (Holanda),534,534,0,0,1,0,0,0,0,46,0,Netherlands,Associated Member,0K,0,0%,2015
Andean,BOL,BOL,0%,Bolivia,Bolivia,"November, 2015",0,0,0,0,Bolivia,68,68,0,0,1,0,0,0,0,46,0,Bolivia,Member State,0K,0,0%,2015
Andean,COL,COL,113600%,Colombia,Colombia,"November, 2015",0,0,0,90,Colombia,170,170,0,2,1,0,0,0,0,46,0,Colombia,Member State,0K,1046,0%,2015
Andean,ECU,ECU,0%,Ecuador,Ecuador,"November, 2015",0,0,0,0,Ecuador,218,218,0,0,1,0,0,0,0,46,0,Ecuador,Member State,0K,0,0%,2015
Andean,VEN,VEN,0%,Venezuela,Venezuela,"November, 2015",0,0,0,0,Venezuela,862,862,0,0,1,0,0,0,0,46,0,Venezuela,Member State,0K,0,0%,2015
Central America,CRI,COR,0%,Costa Rica,Costa Rica,"November, 2015",0,0,0,0,Costa Rica,188,188,0,0,1,0,0,0,0,46,0,Costa Rica,Member State,0K,0,0%,2015
Central America,SLV,SLV,0%,El Salvador,El Salvador,"November, 2015",0,0,0,0,El Salvador,222,222,0,0,1,0,0,0,0,46,0,El Salvador,Member State,0K,0,0%,2015
Central America,SLV,SLV,19500%,El Salvador,El Salvador,"November, 2015",0,0,0,0,El Salvador,222,222,0,0,1,0,0,0,0,46,0,El Salvador,Member State,0K,195,0%,2015
Central America,GTM,GTM,0%,Guatemala,Guatemala,"November, 2015",0,0,0,0,Guatemala,320,320,0,0,1,0,0,0,0,46,0,Guatemala,Member State,0K,0,0%,2015
Central America,GTM,GTM,100%,Guatemala,Guatemala,"November, 2015",0,0,0,1,Guatemala,320,320,0,0,1,0,0,0,0,46,0,Guatemala,Member State,0K,0,0%,2015
Central America,HND,HND,0%,Honduras,Honduras,"November, 2015",0,0,0,0,Honduras,340,340,0,0,1,0,0,0,0,46,0,Honduras,Member State,0K,0,0%,2015
Central America,NIC,NIC,0%,Nicaragua,Nicaragua,"November, 2015",0,0,0,0,Nicaragua,558,558,0,0,1,0,0,0,0,46,0,Nicaragua,Member State,0K,0,0%,2015
Central America,PAN,PAN,0%,Panama,Panama,"November, 2015",0,0,0,0,Panamá,591,591,0,0,1,0,0,0,0,46,0,Panama,Member State,0K,0,0%,2015
Central America,PAN,PAN,0%,Panama,Panama,"November, 2015",0,45,0,0,Panamá,591,591,0,0,1,0,0,0,0,46,0,Panama,Member State,0K,0,0%,2015
Latin Caribbean,DOM,DOM,0%,Dominican Republic,Dominican Republic,"November, 2015",0,0,0,0,República Dominicana,214,214,0,0,1,0,0,0,0,46,0,Dominican Republic,Member State,0K,0,0%,2015
Latin Caribbean,HTI,HTI,0%,Haiti,Haiti,"November, 2015",0,0,0,0,Haití,332,332,0,0,1,0,0,0,0,46,0,Haiti,Member State,0K,0,0%,2015
Latin Caribbean,HTI,HTI,0%,Haiti,Haiti,"November, 2015",0,0,0,0,Haití,332,332,0,0,1,0,0,0,0,46,0,Haiti,Member State,0K,0,0%,2015
Non Latin Caribbean,BRB,BRB,0%,Barbados,Barbados,"November, 2015",0,0,0,0,Barbados,52,52,0,0,1,0,0,0,0,46,0,Barbados,Member State,0K,0,0%,2015
Non Latin Caribbean,GUY,GUY,0%,Guyana,Guyana,"November, 2015",0,0,0,0,Guyana,328,328,0,0,1,0,0,0,0,46,0,Guyana,Member State,0K,0,0%,2015
Non Latin Caribbean,JAM,JAM,0%,Jamaica,Jamaica,"November, 2015",0,0,0,0,Jamaica,388,388,0,0,1,0,0,0,0,46,0,Jamaica,Member State,0K,0,0%,2015
Non Latin Caribbean,VCT,VCT,0%,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,"November, 2015",0,0,0,0,San Vicente y las Granadinas,670,670,0,0,1,0,0,0,0,46,0,St. Vincent and the Grenadines,Member State,0K,0,0%,2015
Non Latin Caribbean,SUR,SUR,0%,Suriname,Suriname,"November, 2015",0,0,0,0,Suriname,740,740,0,0,1,0,0,0,0,46,0,Suriname,Member State,0K,0,0%,2015
Non Latin Caribbean,TTO,TTO,0%,Trinidad and Tobago,Trinidad and Tobago,"November, 2015",0,0,0,0,Trinidad y Tobago,780,780,0,0,1,0,0,0,0,46,0,Trinidad and Tobago,Member State,0K,0,0%,2015
North America,MEX,MEX,0%,Mexico,Mexico,"November, 2015",0,0,0,0,México,484,484,0,0,1,0,0,0,0,46,0,Mexico,Member State,0K,0,0%,2015
South Cone,BRA,BRA,0%,Brazil,Brazil,"November, 2015",0,0,0,0,Brasil,76,76,0,0,1,0,0,0,0,46,0,Brazil,Member State,0K,0,0%,2015
South Cone,PRY,PRY,0%,Paraguay,Paraguay,"November, 2015",0,0,0,0,Paraguay,600,600,0,0,1,0,0,0,0,46,0,Paraguay,Member State,0K,0,0%,2015
Non Latin Caribbean,VIR,VIR,0%,United States Virgin Islands,United States Virgin Islands,"November, 2015",0,0,0,0,Islas Vírgenes (EUA),850,850,0,0,1,0,0,0,0,46,0,United States of America,Other,0K,0,0%,2015
Latin Caribbean,MAF,MAF,0%,Saint Martin,Saint Martin,"November, 2015",0,0,0,0,Isla de San Martín (Francia),663,663,0,0,1,0,0,0,0,46,0,France,Overseas collectivities,0K,0,0%,2015
Latin Caribbean,GLP,GLP,0%,Guadeloupe,Guadeloupe,"November, 2015",0,0,0,0,Guadalupe,312,312,0,0,1,0,0,0,0,46,0,France,Participating State \Territory,0K,0,0%,2015
Latin Caribbean,GUF,GUF,0%,French Guiana,French Guiana,"November, 2015",0,0,0,0,Guayana Francesa,254,254,0,0,1,0,0,0,0,46,0,France,Participating State \Territory,0K,0,0%,2015
Latin Caribbean,MTQ,MTQ,0%,Martinique,Martinique,"November, 2015",0,0,0,0,Martinica,474,474,0,0,1,0,0,0,0,46,0,France,Participating State \Territory,0K,0,0%,2015
Non Latin Caribbean,BES,BES,0%,Bonaire,"Bonaire, Saint Eustatius and Saba","November, 2015",0,0,0,0,"Bonaire, San Eustaquio y Saba",535,535,0,0,1,0,0,0,0,46,0,Netherlands,Participating State \Territory,0K,0,0%,2015
Latin Caribbean,PRI,PRI,0%,Puerto Rico,Puerto Rico,"November, 2015",0,0,0,0,Puerto Rico,630,630,0,0,1,0,0,0,0,47,0,United States,Associated Member,0K,0,0%,2015
Non Latin Caribbean,ABW,ABW,0%,Aruba,Aruba,"November, 2015",0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,47,0,Netherlands,Associated Member,0K,0,0%,2015
Non Latin Caribbean,CUW,CUW,0%,Curacao,Curacao,"November, 2015",0,0,0,0,Curazao,531,531,0,0,1,0,0,0,0,47,0,Netherlands,Associated Member,0K,0,0%,2015
Non Latin Caribbean,SXM,SXM,0%,Sint Maarten,Sint Maarten,"November, 2015",0,0,0,0,Isla de San Martín (Holanda),534,534,0,0,1,0,0,0,0,47,0,Netherlands,Associated Member,0K,0,0%,2015
Andean,BOL,BOL,0%,Bolivia,Bolivia,"November, 2015",0,0,0,0,Bolivia,68,68,0,0,1,0,0,0,0,47,0,Bolivia,Member State,0K,0,0%,2015
Andean,COL,COL,106500%,Colombia,Colombia,"November, 2015",0,0,0,0,Colombia,170,170,0,1,1,0,0,0,0,47,0,Colombia,Member State,0K,1065,0%,2015
Andean,ECU,ECU,0%,Ecuador,Ecuador,"November, 2015",0,0,0,0,Ecuador,218,218,0,0,1,0,0,0,0,47,0,Ecuador,Member State,0K,0,0%,2015
Andean,VEN,VEN,0%,Venezuela,Venezuela,"November, 2015",0,0,0,0,Venezuela,862,862,0,0,1,0,0,0,0,47,0,Venezuela,Member State,0K,0,0%,2015
Andean,VEN,VEN,700%,Venezuela,Venezuela,"November, 2015",0,0,0,4,Venezuela,862,862,0,0,1,0,0,0,0,47,0,Venezuela,Member State,0K,3,0%,2015
Central America,CRI,COR,0%,Costa Rica,Costa Rica,"November, 2015",0,0,0,0,Costa Rica,188,188,0,0,1,0,0,0,0,47,0,Costa Rica,Member State,0K,0,0%,2015
Central America,SLV,SLV,0%,El Salvador,El Salvador,"November, 2015",0,0,0,0,El Salvador,222,222,0,0,1,0,0,0,0,47,0,El Salvador,Member State,0K,0,0%,2015
Central America,SLV,SLV,35100%,El Salvador,El Salvador,"November, 2015",0,0,0,3,El Salvador,222,222,0,0,1,0,0,0,0,47,0,El Salvador,Member State,0K,348,0%,2015
Central America,GTM,GTM,0%,Guatemala,Guatemala,"November, 2015",0,0,0,0,Guatemala,320,320,0,0,1,0,0,0,0,47,0,Guatemala,Member State,0K,0,0%,2015
Central America,HND,HND,0%,Honduras,Honduras,"November, 2015",0,0,0,0,Honduras,340,340,0,0,1,0,0,0,0,47,0,Honduras,Member State,0K,0,0%,2015
Central America,NIC,NIC,0%,Nicaragua,Nicaragua,"November, 2015",0,0,0,0,Nicaragua,558,558,0,0,1,0,0,0,0,47,0,Nicaragua,Member State,0K,0,0%,2015
Central America,PAN,PAN,400%,Panama,Panama,"November, 2015",0,0,0,4,Panamá,591,591,0,0,1,0,0,0,0,47,0,Panama,Member State,0K,0,0%,2015
Latin Caribbean,DOM,DOM,0%,Dominican Republic,Dominican Republic,"November, 2015",0,0,0,0,República Dominicana,214,214,0,0,1,0,0,0,0,47,0,Dominican Republic,Member State,0K,0,0%,2015
Latin Caribbean,HTI,HTI,0%,Haiti,Haiti,"November, 2015",0,0,0,0,Haití,332,332,0,0,1,0,0,0,0,47,0,Haiti,Member State,0K,0,0%,2015
Latin Caribbean,HTI,HTI,0%,Haiti,Haiti,"November, 2015",0,0,0,0,Haití,332,332,0,0,1,0,0,0,0,47,0,Haiti,Member State,0K,0,0%,2015
Non Latin Caribbean,BRB,BRB,0%,Barbados,Barbados,"November, 2015",0,0,0,0,Barbados,52,52,0,0,1,0,0,0,0,47,0,Barbados,Member State,0K,0,0%,2015
Non Latin Caribbean,GUY,GUY,0%,Guyana,Guyana,"November, 2015",0,0,0,0,Guyana,328,328,0,0,1,0,0,0,0,47,0,Guyana,Member State,0K,0,0%,2015
Non Latin Caribbean,JAM,JAM,0%,Jamaica,Jamaica,"November, 2015",0,0,0,0,Jamaica,388,388,0,0,1,0,0,0,0,47,0,Jamaica,Member State,0K,0,0%,2015
Non Latin Caribbean,VCT,VCT,0%,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,"November, 2015",0,0,0,0,San Vicente y las Granadinas,670,670,0,0,1,0,0,0,0,47,0,St. Vincent and the Grenadines,Member State,0K,0,0%,2015
Non Latin Caribbean,SUR,SUR,0%,Suriname,Suriname,"November, 2015",0,0,0,0,Suriname,740,740,0,0,1,0,0,0,0,47,0,Suriname,Member State,0K,0,0%,2015
Non Latin Caribbean,TTO,TTO,0%,Trinidad and Tobago,Trinidad and Tobago,"November, 2015",0,0,0,0,Trinidad y Tobago,780,780,0,0,1,0,0,0,0,47,0,Trinidad and Tobago,Member State,0K,0,0%,2015
North America,MEX,MEX,0%,Mexico,Mexico,"November, 2015",0,0,0,0,México,484,484,0,0,1,0,0,0,0,47,0,Mexico,Member State,0K,0,0%,2015
North America,MEX,MEX,200%,Mexico,Mexico,"November, 2015",0,0,1,2,México,484,484,0,0,1,0,0,0,0,47,0,Mexico,Member State,0K,0,0%,2015
South Cone,BRA,BRA,0%,Brazil,Brazil,"November, 2015",0,0,0,0,Brasil,76,76,0,0,1,0,0,0,0,47,0,Brazil,Member State,0K,0,0%,2015
South Cone,BRA,BRA,1659300%,Brazil,Brazil,"November, 2015",3,39,0,0,Brasil,76,76,0,0,1,0,0,0,0,47,0,Brazil,Member State,13K,16593,1606500%,2015
South Cone,PRY,PRY,0%,Paraguay,Paraguay,"November, 2015",0,0,0,0,Paraguay,600,600,0,0,1,0,0,0,0,47,0,Paraguay,Member State,0K,0,0%,2015
South Cone,PRY,PRY,600%,Paraguay,Paraguay,"November, 2015",0,45,0,6,Paraguay,600,600,0,0,1,0,0,0,0,47,0,Paraguay,Member State,0K,0,0%,2015
Non Latin Caribbean,VIR,VIR,0%,United States Virgin Islands,United States Virgin Islands,"November, 2015",0,0,0,0,Islas Vírgenes (EUA),850,850,0,0,1,0,0,0,0,47,0,United States of America,Other,0K,0,0%,2015
Latin Caribbean,MAF,MAF,0%,Saint Martin,Saint Martin,"November, 2015",0,0,0,0,Isla de San Martín (Francia),663,663,0,0,1,0,0,0,0,47,0,France,Overseas collectivities,0K,0,0%,2015
Latin Caribbean,GLP,GLP,0%,Guadeloupe,Guadeloupe,"November, 2015",0,0,0,0,Guadalupe,312,312,0,0,1,0,0,0,0,47,0,France,Participating State \Territory,0K,0,0%,2015
Latin Caribbean,GUF,GUF,0%,French Guiana,French Guiana,"November, 2015",0,0,0,0,Guayana Francesa,254,254,0,0,1,0,0,0,0,47,0,France,Participating State \Territory,0K,0,0%,2015
Latin Caribbean,MTQ,MTQ,0%,Martinique,Martinique,"November, 2015",0,0,0,0,Martinica,474,474,0,0,1,0,0,0,0,47,0,France,Participating State \Territory,0K,0,0%,2015
Non Latin Caribbean,BES,BES,0%,Bonaire,"Bonaire, Saint Eustatius and Saba","November, 2015",0,0,0,0,"Bonaire, San Eustaquio y Saba",535,535,0,0,1,0,0,0,0,47,0,Netherlands,Participating State \Territory,0K,0,0%,2015
Latin Caribbean,PRI,PRI,0%,Puerto Rico,Puerto Rico,"December, 2015",0,0,0,0,Puerto Rico,630,630,0,0,1,0,0,0,0,48,0,United States,Associated Member,0K,0,0%,2015
Non Latin Caribbean,ABW,ABW,0%,Aruba,Aruba,"December, 2015",0,0,0,0,Aruba,533,533,0,0,1,0,0,0,0,48,0,Netherlands,Associated Member,0K,0,0%,2015
Non Latin Caribbean,CUW,CUW,0%,Curacao,Curacao,"December, 2015",0,0,0,0,Curazao,531,531,0,0,1,0,0,0,0,48,0,Netherlands,Associated Member,0K,0,0%,2015
Non Latin Caribbean,SXM,SXM,0%,Sint Maarten,Sint Maarten,"December, 2015",0,0,0,0,Isla de San Martín (Holanda),534,534,0,0,1,0,0,0,0,48,0,Netherlands,Associated Member,0K,0,0%,2015
Andean,BOL,BOL,0%,Bolivia,Bolivia,"December, 2015",0,0,0,0,Bolivia,68,68,0,0,1,0,0,0,0,48,0,Bolivia,Member State,0K,0,0%,2015
Andean,COL,COL,140000%,Colombia,Colombia,"December, 2015",0,0,0,37,Colombia,170,170,0,4,1,0,0,0,0,48,0,Colombia,Member State,0K,1363,0%,2015
Andean,ECU,ECU,0%,Ecuador,Ecuador,"December, 2015",0,0,0,0,Ecuador,218,218,0,0,1,0,0,0,0,48,0,Ecuador,Member State,0K,0,0%,2015
Andean,VEN,VEN,0%,Venezuela,Venezuela,"December, 2015",0,0,0,0,Venezuela,862,862,0,0,1,0,0,0,0,48,0,Venezuela,Member State,0K,0,0%,2015
Central America,CRI,COR,0%,Costa Rica,Costa Rica,"December, 2015",0,0,0,0,Costa Rica,188,188,0,0,1,0,0,0,0,48,0,Costa Rica,Member State,0K,0,0%,2015
Central America,SLV,SLV,0%,El Salvador,El Salvador,"December, 2015",0,0,0,0,El Salvador,222,222,0,0,1,0,0,0,0,48,0,El Salvador,Member State,0K,0,0%,2015
Central America,SLV,SLV,84600%,El Salvador,El Salvador,"December, 2015",0,0,0,0,El Salvador,222,222,0,8,1,0,0,0,0,48,0,El Salvador,Member State,0K,846,0%,2015
