CSV Output,,
Proc Code(cpt4),proc_type,proc_description
361,Revenue Code,OR/MINOR
36120,CPT?-Procedure-Code,PLACE NEEDLE/CATHETER IN ARTERY
36140,CPT?-Procedure-Code,PLACE NEEDLE/CATHETER IN ARTERY
36147,CPT?-Procedure-Code,ACCESS AV DIAL GRFT FOR EVAL
36148,CPT?-Procedure-Code,ACCESS AV DIAL GRFT FOR PROC
362,Revenue Code,OR/ORGAN TRANS
36200,CPT?-Procedure-Code,PLACE NEEDLE/CATHETER IN AORTA
36215,CPT?-Procedure-Code,PLACE CATHETER IN ARTERIES
36216,CPT?-Procedure-Code,PLACE CATHETER IN ARTERIES
36217,CPT?-Procedure-Code,PLACE CATHETER IN ARTERIES
36218,CPT?-Procedure-Code,PLACE CATHETER IN ARTERIES
36221,CPT?-Procedure-Code,PLACE CATH THORACIC AORTA
36222,CPT?-Procedure-Code,PLACE CATH CAROTID/INOM ART
36223,CPT?-Procedure-Code,PLACE CATH CAROTID/INOM ART
36224,CPT?-Procedure-Code,PLACE CATH CAROTD ART
36225,CPT?-Procedure-Code,PLACE CATH SUBCLAVIAN ART
36226,CPT?-Procedure-Code,PLACE CATH VERTEBRAL ART
36245,CPT?-Procedure-Code,PLACE CATHETER IN ARTERIES
36246,CPT?-Procedure-Code,PLACE CATHETER IN ARTERIES
36247,CPT?-Procedure-Code,PLACE CATHETER IN ARTERIES
36248,CPT?-Procedure-Code,PLACE CATHETER IN ARTERIES
36251,CPT?-Procedure-Code,INS CATH REN ART 1ST UNILAT
36252,CPT?-Procedure-Code,INS CATH REN ART 1ST BILAT
36299,CPT?-Procedure-Code,VESSEL INJECTION PROCEDURE NEC
36400,CPT?-Procedure-Code,VENPNCTR UNDER AGE 3 FEMR/JUGULAR
36405,CPT?-Procedure-Code,VENPNCTR UNDER AGE 3 SCALP VEIN
36406,CPT?-Procedure-Code,VENPNCTR UNDER AGE 3 OTHER VEIN
36410,CPT?-Procedure-Code,VENIPUNCTURE > AGE 3 NOT ROUTINE
36415,CPT?-Procedure-Code,VENPNCTR FNGR/HEEL/EAR STICK ROUTNE
36416,CPT?-Procedure-Code,CAPILLARY BLOOD DRAW
36430,CPT?-Procedure-Code,BLOOD TRANSFUSION SERVICE
36470,CPT?-Procedure-Code,INJECTION THERAPY OF VEIN
36471,CPT?-Procedure-Code,INJECTION THERAPY OF VEINS
36475,CPT?-Procedure-Code,ENDOVENOUS RF 1ST VEIN
36476,CPT?-Procedure-Code,ENDOVENOUS RF VEIN ADD-ON
36478,CPT?-Procedure-Code,ENDOVENOUS LASER 1ST VEIN
36479,CPT?-Procedure-Code,ENDOVENOUS LASER VEIN ADD-ON
36500,CPT?-Procedure-Code,INSERTION OF CATHETER VEIN
36514,CPT?-Procedure-Code,APHERESIS PLASMA
36556,CPT?-Procedure-Code,INSERT NON-TUNNEL CV CATH
36558,CPT?-Procedure-Code,INSERT TUNNELED CV CATH
36561,CPT?-Procedure-Code,INSERT TUNNELED CV CATH
36563,CPT?-Procedure-Code,INSERT TUNNELED CV CATH
36569,CPT?-Procedure-Code,INSERT TUNNELED CV CATH
36571,CPT?-Procedure-Code,INSERT TUNNELED CV CATH
36580,CPT?-Procedure-Code,REPLACE TUNNELED CV CATH
36581,CPT?-Procedure-Code,REPLACE TUNNELED CV CATH
36582,CPT?-Procedure-Code,REPLACE TUNNELED CV CATH
36584,CPT?-Procedure-Code,REPLACE TUNNELED CV CATH
36585,CPT?-Procedure-Code,REPLACE TUNNELED CV CATH
36589,CPT?-Procedure-Code,REMOVE TUNNELED CV CATH
36590,CPT?-Procedure-Code,REMOVE TUNNELED CV CATH
36591,CPT?-Procedure-Code,DRAW BLOOD OFF VENOUS DEVICE
36592,CPT?-Procedure-Code,COLLECT BLOOD FROM PICC
36593,CPT?-Procedure-Code,DECLOT VASCULAR DEVICE
36595,CPT?-Procedure-Code,MECH REMOV TUNNELED CV CATH
36597,CPT?-Procedure-Code,REPOSITION VENOUS CATHETER
36598,CPT?-Procedure-Code,INJ W/FLUOR EVAL CV DEVICE
36600,CPT?-Procedure-Code,WITHDRAW ARTERIAL BLOOD DIAGNOSTIC
36620,CPT?-Procedure-Code,INSERT ARTERY CATHETER THRU SKIN
36680,CPT?-Procedure-Code,INSERT NEEDLE INTO BONE CAVITY
36800,CPT?-Procedure-Code,INSERT CANNULA VEIN-VEIN
36815,CPT?-Procedure-Code,INSERT CANNULA ARTERY-VEIN EXTERN
36818,CPT?-Procedure-Code,AV FUSE UPPER ARM CEPHALIC
36819,CPT?-Procedure-Code,AV ANASTOMOSIS OPEN BASILIC VEIN
36821,CPT?-Procedure-Code,AV ANASTOMOSIS OPN DIRECT ANY SITE
36825,CPT?-Procedure-Code,ARTERY-VEIN GRAFT AUTOGENOUS
36830,CPT?-Procedure-Code,ARTERY-VEIN GRAFT NONAUTOGENOUS
36831,CPT?-Procedure-Code,THROMBCTMY ARTRIOVEN FISTLA W/O REV
36832,CPT?-Procedure-Code,REVISE ARTERIOVEN FISTULA W/O GRFT
36833,CPT?-Procedure-Code,REVISE ARTERIOVEN FISTULA W/GRAFT
36870,CPT?-Procedure-Code,THROMBCTMY PERCU ARTERIOVEN FSTULA
369,Revenue Code,OR/OTHER
370,Revenue Code,ANESTHESIA
371,Revenue Code,ANESTH/INCIDENT RAD
37182,CPT?-Procedure-Code,INSERT HEPATIC SHUNT (TIPS)
37183,CPT?-Procedure-Code,REMOVE HEPATIC SHUNT (TIPS)
37184,CPT?-Procedure-Code,PRIM ART MECH THROMBECTOMY
37185,CPT?-Procedure-Code,PRIM ART M-THROMBECT ADD-ON
37187,CPT?-Procedure-Code,VENOUS MECH THROMBECTOMY
37191,CPT?-Procedure-Code,INS ENDOVAS VENA CAVA FILTR
37192,CPT?-Procedure-Code,REDO ENDOVAS VENA CAVA FILTR
37193,CPT?-Procedure-Code,REM ENDOVAS VENA CAVA FILTER
372,Revenue Code,ANESTH/INCDNT OTHER DX
37200,CPT?-Procedure-Code,TRANSCATHETER BIOPSY
37201,CPT?-Procedure-Code,TRANSCATHETER THERAPY/INFUSION
37202,CPT?-Procedure-Code,TRANSCATHETER THERAPY/INFUSION
37203,CPT?-Procedure-Code,TRANSCATHETER RETRIEVAL OF OBJECT
37204,CPT?-Procedure-Code,TRANSCATHETER OCCLUSION/EMBOLIZATN
37205,CPT?-Procedure-Code,TRANSCATH STENT PLACEMENT INITIAL
37206,CPT?-Procedure-Code,TRANSCATH STENT PLACEMENT EA ADDL
37209,CPT?-Procedure-Code,EXCHANGE ARTERIAL CATHETER
37210,CPT?-Procedure-Code,EMBOLIZATION UTERINE FIBROID
37211,CPT?-Procedure-Code,THROMBOLYTIC ART THERAPY
37213,CPT?-Procedure-Code,THROMBLYTIC ART/VEN THERAPY
37215,CPT?-Procedure-Code,TRANSCATH STENT CCA W/EPS
37220,CPT?-Procedure-Code,ILIAC REVASC
37221,CPT?-Procedure-Code,ILIAC REVASC W/STENT
37222,CPT?-Procedure-Code,ILIAC REVASC ADD-ON
37224,CPT?-Procedure-Code,FEM/POPL REVAS W/TLA
37225,CPT?-Procedure-Code,FEM/POPL REVAS W/ATHER
37226,CPT?-Procedure-Code,FEM/POPL REVASC W/STENT
37227,CPT?-Procedure-Code,FEM/POPL REVASC STNT & ATHER
37228,CPT?-Procedure-Code,TIB/PER REVASC W/TLA
37229,CPT?-Procedure-Code,TIB/PER REVASC W/ATHER
37232,CPT?-Procedure-Code,TIB/PER REVASC ADD-ON
37236,CPT?-Procedure-Code,OPEN/PERQ PLACEMENT INTRAVAS
37241,CPT?-Procedure-Code,VASCULAR EMBOLIZATION OR OCC
37243,CPT?-Procedure-Code,VASCULAR EMBOLIZE/OCCLUDE OR
37244,CPT?-Procedure-Code,VASCULAR EMBOLIZATION OR OCC
37250,CPT?-Procedure-Code,INTRAVASC ULTRSND NON-CORNRY 1 VSL
37251,CPT?-Procedure-Code,INTRAVASC ULTRSND NON-CORONARY ADDL
3725F,CPT?-Procedure-Code,SCREEN DEPRESSION PERFORMED
37501,CPT?-Procedure-Code,VASCULAR ENDOSCOPY PROCEDURE
37607,CPT?-Procedure-Code,LIGATION OF ANGIOACCESS FISTULA
37609,CPT?-Procedure-Code,LIGATION/BIOPSY OF TEMPORAL ARTERY
37620,CPT?-Procedure-Code,REVISION OF INFERIOR VENA CAVA
37700,CPT?-Procedure-Code,REVISION OF LEG VEIN
37718,CPT?-Procedure-Code,LIGATE/STRIP SHORT LEG VEIN
37722,CPT?-Procedure-Code,LIGATE/STRIP LONG LEG VEIN
37765,CPT?-Procedure-Code,PHLEB VEINS - EXTREM - TO 20
37766,CPT?-Procedure-Code,PHLEB VEINS - EXTREM 20+
37799,CPT?-Procedure-Code,VASCULAR SURGERY PROCEDURE NEC
379,Revenue Code,ANESTHE/OTHER
380,Revenue Code,BLOOD
381,Revenue Code,BLOOD/PKD RED
38204,CPT?-Procedure-Code,BL DONOR SEARCH MANAGEMENT
38206,CPT?-Procedure-Code,HARVEST AUTO STEM CELLS
38207,CPT?-Procedure-Code,CRYOPRESERVE STEM CELLS
38208,CPT?-Procedure-Code,THAW PRESERVED STEM CELLS
38214,CPT?-Procedure-Code,VOLUME DEPLETE OF HARVEST
38220,CPT?-Procedure-Code,ASPIRATION BONE MARROW
38221,CPT?-Procedure-Code,BIOPSY BONE MARROW NEEDLE/TROCAR
38241,CPT?-Procedure-Code,BONE MARROW/STEMCELL XPLNT AUTOLOG
38308,CPT?-Procedure-Code,LYMPH CHANNEL SURGERY
384,Revenue Code,BLOOD/PLATELETS
38500,CPT?-Procedure-Code,BIOPSY/REMOVE LYMPH NODE(S)
38505,CPT?-Procedure-Code,NEEDLE BIOPSY/REMOVE LYMPH NODE(S)
38510,CPT?-Procedure-Code,BIOPSY/REMOVE LYMPH NODE(S) NECK
38525,CPT?-Procedure-Code,BIOPSY/REMOVE LYMPH NODE(S) ARMPIT
38562,CPT?-Procedure-Code,REMOVE PELVIC LYMPH NODES
38571,CPT?-Procedure-Code,LAPROSCPY W/PELVIC LYMPHADENTMY
38572,CPT?-Procedure-Code,LAPROSCPY W/PLVC LYMPHADENTMY & BX
386,Revenue Code,BLOOD/COMPONENTS
387,Revenue Code,BLOOD/DERIVATIVES
38724,CPT?-Procedure-Code,REMOVAL OF NECK LYMPH NODES
38746,CPT?-Procedure-Code,REMOVE THORACIC LYMPH NODES
38747,CPT?-Procedure-Code,REMOVE ABDOMINAL LYMPH NODES
38780,CPT?-Procedure-Code,REMOVAL OF ABDOMEN LYMPH NODES
38790,CPT?-Procedure-Code,INJECTION FOR LYMPHATIC X-RAY
38792,CPT?-Procedure-Code,INJECTION FOR IDENTIF SENTINEL NODE
38900,CPT?-Procedure-Code,IO MAP OF SENT LYMPH NODE
390,Revenue Code,BLOOD/STOR-PROC
391,Revenue Code,BLOOD/ADMIN
39541,CPT?-Procedure-Code,REPAIR TRAUMATIC DIAPHRAGM HERNIA
399,Revenue Code,BLOOD/OTHER STOR
3AGK1,UNKNOWN Code,UNKNOWN Code
3AGKS,UNKNOWN Code,UNKNOWN Code
3CGK1,UNKNOWN Code,UNKNOWN Code
3CGM1,UNKNOWN Code,UNKNOWN Code
3CHKW,UNKNOWN Code,UNKNOWN Code
400,Revenue Code,IMAGE SERVICE
4000F,CPT?-Procedure-Code,TOBACCO USE TREAT COUNSELING
4001F,CPT?-Procedure-Code,TOBACCO USE TREAT PHARMACOL
4003F,CPT?-Procedure-Code,PT ED WRITE/ORAL PTS W/ HF
4004F,CPT?-Procedure-Code,PT TOBACCO SCREEN RCVD TLK
4006F,CPT?-Procedure-Code,BETA-BLOCKER THERAPY RX
4008F,CPT?-Procedure-Code,BETA-BLOCKER THERAPY RXD/TKN
401,Revenue Code,DIAG MAMMOGRAPHY
4010F,CPT?-Procedure-Code,ACE/ARB THERAPY RXD/TAKEN
4011F,CPT?-Procedure-Code,ORAL ANTIPLATELET TX RX
4013F,CPT?-Procedure-Code,STATIN THERAPY/CURRENTLY TKN
4015F,CPT?-Procedure-Code,PERSIST ASTHMA MEDICINE CTRL
4016F,CPT?-Procedure-Code,ANTI-INFLM/ANLGSC AGENT RX
4019F,CPT?-Procedure-Code,DOC RECPT COUNSL VIT D/CALC+
402,Revenue Code,ULTRASOUND
4025F,CPT?-Procedure-Code,INHALED BRONCHODILATOR RX
403,Revenue Code,SCRN MAMMOGRAPHY
4037F,CPT?-Procedure-Code,INFLUENZA IMM ORDER/ADMIN
404,Revenue Code,PET SCAN
4040F,CPT?-Procedure-Code,PNEUMOC IMM ORDER/ADMIN
4041F,CPT?-Procedure-Code,DOC ORDER CEFAZOLIN/CEFUROXIME
4044F,CPT?-Procedure-Code,DOC ORD VTE PROPHY
4045F,CPT?-Procedure-Code,EMPIRIC ANTIBIOTIC PRESCRIBED
4046F,CPT?-Procedure-Code,DOC PROPHY ANTIBIOTICS WERE GIVEN
4047F,CPT?-Procedure-Code,DOC ORDER PROPHY ANTIBIOTICS
4048F,CPT?-Procedure-Code,DOC PROPHY ANTIBIOTIC GIVEN
40490,CPT?-Procedure-Code,BIOPSY OF LIP
4049F,CPT?-Procedure-Code,DOC ORDER D/C PROPHY ANTIBIOTICS
4050F,CPT?-Procedure-Code,HT CARE PLAN DOC
40510,CPT?-Procedure-Code,PARTIAL EXCISION OF LIP WEDGE
40654,CPT?-Procedure-Code,REPAIR LIP OVER 1/2 OR COMPLEX
40808,CPT?-Procedure-Code,BIOPSY OF MOUTH
40810,CPT?-Procedure-Code,EXCISION OF MOUTH LESION
40812,CPT?-Procedure-Code,EXCISE/REPAIR MOUTH LESION SIMPLE
40845,CPT?-Procedure-Code,RECONSTRUCTION OF MOUTH COMPLEX
4084F,CPT?-Procedure-Code,ASPIRIN RECEIVED BEF ED ARRIVAL OR
4086F,CPT?-Procedure-Code,ASPIRIN/CLOPIDOGREL RXD
409,Revenue Code,OTHER/IMAG SVS
410,Revenue Code,RESPIRATORY SVC
41008,CPT?-Procedure-Code,DRAIN MOUTH LESION SUBMANDIB SPACE
41009,CPT?-Procedure-Code,DRAIN MOUTH LESION MASTICATOR SPACE
41100,CPT?-Procedure-Code,BIOPSY OF ANTERIOR TONGUE
41105,CPT?-Procedure-Code,BIOPSY OF POSTERIOR TONGUE
41110,CPT?-Procedure-Code,EXCISION OF TONGUE LESION
41112,CPT?-Procedure-Code,EXCISION OF TONGUE LESION W/CLOSURE
41113,CPT?-Procedure-Code,EXCISION OF TONGUE LESION W/CLOSURE
41120,CPT?-Procedure-Code,PARTIAL REMOVAL OF TONGUE
412,Revenue Code,INHALATION SVC
4124F,CPT?-Procedure-Code,ANTIBIOT NOT RX  /GIVEN
413,Revenue Code,HYPERBARIC 02
4130F,CPT?-Procedure-Code,TOPICAL PREP RX AOE
4148F,CPT?-Procedure-Code,HEP A VAC INJXN ADMIN/RECVD
4149F,CPT?-Procedure-Code,HEP B VAC INJXN ADMIN/RECVD
4172F,CPT?-Procedure-Code,PT NOT RCVNG ESA THXPY
4177F,CPT?-Procedure-Code,TALK PT/CRGVR RE AREDS PREV
41800,CPT?-Procedure-Code,DRAINAGE OF GUM LESION
41828,CPT?-Procedure-Code,EXCISE HYPERPLASTIC ALVEOLAR MUCOSA
41874,CPT?-Procedure-Code,ALVEOLOPLASTY EACH QUADRANT
4187F,CPT?-Procedure-Code,ANTI RHEUM DRUGTHXPYRX  /GVN
41899,CPT?-Procedure-Code,DENTAL SURGERY PROCEDURE NEC
419,Revenue Code,OTHER/RESPIR SVS
4192F,CPT?-Procedure-Code,PT NOT RCVNG GLUCOCO THXPY
4196F,CPT?-Procedure-Code,PTNOT RCVNG ANTI-RHM THXPYRA
420,Revenue Code,PHYSICAL THERP
421,Revenue Code,PHYS THERP/VISIT
42100,CPT?-Procedure-Code,BIOPSY OF ROOF OF MOUTH
42104,CPT?-Procedure-Code,REMOVE MOUTH ROOF LESION NO CLOSURE
42145,CPT?-Procedure-Code,REVISION OF PALATE PHARYNX/UVULA
422,Revenue Code,PHYS THERP/HOUR
42200,CPT?-Procedure-Code,RECONSTRUCT CLEFT PALATE
423,Revenue Code,PHYS THERP/GROUP
424,Revenue Code,PHYS THERP/EVAL
42400,CPT?-Procedure-Code,NEEDLE BIOPSY OF SALIVARY GLAND
42410,CPT?-Procedure-Code,REMOVAL OF PAROTID GLAND/TUMOR
42415,CPT?-Procedure-Code,REMOVAL OF PAROTID GLAND/TUMOR
42420,CPT?-Procedure-Code,REMOVAL OF PAROTID GLAND/TUMOR
4245F,CPT?-Procedure-Code,PATIENT COUNSEL INITIAL VISIT
4248F,CPT?-Procedure-Code,PATIENT COUNSEL INITIAL VISIT
4250F,CPT?-Procedure-Code,ACTIVE WARMING INTRAOP
4255F,CPT?-Procedure-Code,ANESTH 60+ MIN AS DOCD
4256F,CPT?-Procedure-Code,ANESTHE <60 MIN AS DOCD
42800,CPT?-Procedure-Code,BIOPSY OF THROAT OROPHARYNX
42804,CPT?-Procedure-Code,BIOPSY OF UPPER NOSE/THROAT
42808,CPT?-Procedure-Code,REMOVAL OF PHARYNX LESION
42821,CPT?-Procedure-Code,REMOVE TONSILS & ADENOIDS AGE 12+
42826,CPT?-Procedure-Code,REMOVAL OF TONSILS AGE 12+
42831,CPT?-Procedure-Code,REMOVAL OF ADENOIDS AGE 12+
42870,CPT?-Procedure-Code,REMOVAL OF LINGUAL TONSIL
429,Revenue Code,OTHER PHYS THERP
430,Revenue Code,OCCUPATION THERP
431,Revenue Code,OCCUP THERP/VISIT
43107,CPT?-Procedure-Code,TOTAL ESOPHAGUS REMOVAL
432,Revenue Code,OCCUP THERP/HOUR
43200,CPT?-Procedure-Code,ESOPHAGOSCPY DIAGNOSTIC
43202,CPT?-Procedure-Code,ESOPHAGOSCPY W/BIOPSY
43220,CPT?-Procedure-Code,ESOPHAGOSCPY W/BAL DILATE >30 MM
43226,CPT?-Procedure-Code,ESOPHAGOSCPY W/INSERT WIRE/DILATION
43232,CPT?-Procedure-Code,ESOPHAGOSCPY W/FINE NEEDLE ASPIR/BX
43234,CPT?-Procedure-Code,UP GI ENDOSCOPY/EXAM SMPL/PRIMARY
43235,CPT?-Procedure-Code,UPPER GI ENDOSCOPY/DIAGNOSTIC
43236,CPT?-Procedure-Code,UPPR GI SCOPE W/SUBMUC INJ
43238,CPT?-Procedure-Code,UPPR GI ENDOSCOPY W US FN BX
43239,CPT?-Procedure-Code,UPPER GI ENDOSCOPY W/BIOPSY
43242,CPT?-Procedure-Code,UPPER GI ENDOSCOPY W/ASPIRATION/BX
43243,CPT?-Procedure-Code,UPPER GI ENDOSCOPY/INJECT VARICES
43244,CPT?-Procedure-Code,UPPER GI ENDOSCOPY W/LIGATION
43245,CPT?-Procedure-Code,UPPER GI ENDOSCOPY W/DILATION
43246,CPT?-Procedure-Code,UPPER GI ENDOSCOPY W/GASTRIC TUBE
43247,CPT?-Procedure-Code,UPPER GI ENDOSCOPY REMOVE OBJECT
43248,CPT?-Procedure-Code,UPPER GI ENDOSCOPY W/GUIDE WIRE
43249,CPT?-Procedure-Code,UPPER GI ENDOSCOPY W/ESOPHAG DILATE
43250,CPT?-Procedure-Code,UPPER GI ENDOSCOPY W/LESION REMOVAL
43251,CPT?-Procedure-Code,UPPER GI ENDOSCOPY W/LESION REMOVAL
43255,CPT?-Procedure-Code,UPPER GI ENDOSCOPY BLEED CONTROL
43258,CPT?-Procedure-Code,UPPER GI ENDOSCOPY REMOVE LESION
43259,CPT?-Procedure-Code,UPPER GI ENDOSCOPY W/ULTRASOUND
43260,CPT?-Procedure-Code,ERCP DIAGNOSTIC
43261,CPT?-Procedure-Code,ERCP W/BIOPSY
43262,CPT?-Procedure-Code,ERCP W/SPHINCTEROTOMY/PAPILLOTOMY
43264,CPT?-Procedure-Code,ERCP W/STONE REMOVAL
43268,CPT?-Procedure-Code,ERCP W/STENT INSERTION
43269,CPT?-Procedure-Code,ERCP REMOVE FOREIGN OBJECT
43271,CPT?-Procedure-Code,ERCP W/BALLOON DILATION
43274,CPT?-Procedure-Code,ERCP STENT PLACEMENT BILIARY
43275,CPT?-Procedure-Code,ERCP REMOVE FOREIGN BODY/STE
43279,CPT?-Procedure-Code,LAP MYOTOMY HELLER
43281,CPT?-Procedure-Code,LAP PARAESOPHAG HERN REPAIR
43282,CPT?-Procedure-Code,LAP PARAESOPH HER RPR W/MESH
433,Revenue Code,OCCUP THERP/GROUP
434,Revenue Code,OCCUP THERP/EVAL
4340F,CPT?-Procedure-Code,CNSLNG CHLDBRNG WOMEN EPI
43450,CPT?-Procedure-Code,DILATE ESOPHAGUS UNGUIDED
43453,CPT?-Procedure-Code,DILATE ESOPHAGUS GUIDEWIRE
43499,CPT?-Procedure-Code,ESOPHAGUS SURGERY PROCEDURE NEC
43644,CPT?-Procedure-Code,LAP GASTRIC BYPASS/ROUX-EN-Y
43645,CPT?-Procedure-Code,LAP GASTRIC BYPASS INCL SMALL I
43647,CPT?-Procedure-Code,LAP IMPL ELECTRODE ANTRUM
43752,CPT?-Procedure-Code,PLACE NASO-/ORO-GASTRIC TUBE
43753,CPT?-Procedure-Code,TX GASTRO INTUB W/ASP
43760,CPT?-Procedure-Code,CHANGE GASTROSTOMY TUBE
43771,CPT?-Procedure-Code,LAP REVISE ADJUST GASTRIC BAND
43774,CPT?-Procedure-Code,LAP REMOVE ADJ GASTRIC BAND/PORT
43775,CPT?-Procedure-Code,LAP SLEEVE GASTRECTOMY
43800,CPT?-Procedure-Code,RECONSTRUCTION OF PYLORUS
43820,CPT?-Procedure-Code,FUSION OF STOMACH AND BOWEL
43830,CPT?-Procedure-Code,GASTROSTOMY OPEN W/O GASTRIC TUBE
43840,CPT?-Procedure-Code,REPAIR STOMACH LESION
43886,CPT?-Procedure-Code,REVISE GASTRIC PORT OPEN
439,Revenue Code,OTHER OCCUP THER
440,Revenue Code,SPEECH PATHOL
44005,CPT?-Procedure-Code,FREEING OF BOWEL ADHESION
44010,CPT?-Procedure-Code,INCISION OF DUODENUM
44015,CPT?-Procedure-Code,TUBE JEJUNOSTOMY FOR FEEDING
441,Revenue Code,SPEECH PATH/VISIT
44120,CPT?-Procedure-Code,REMOVAL OF SMALL INTESTINE W/FUSION
44121,CPT?-Procedure-Code,REMOVAL OF SMALL INTESTINE EA ADDL
44139,CPT?-Procedure-Code,MOBILIZATION OF SPLENIC FLEXURE
44140,CPT?-Procedure-Code,PARTIAL REMOVAL OF COLON W/FUSION
44143,CPT?-Procedure-Code,PARTIAL REMOVAL OF COLON/COLOSTOMY
44145,CPT?-Procedure-Code,PARTIAL REMOVAL OF COLON/COLOSTOMY
44146,CPT?-Procedure-Code,PARTIAL REMOVAL OF COLON/COLOSTOMY
44150,CPT?-Procedure-Code,REMOVAL OF COLON/ILEOSTOMY
44160,CPT?-Procedure-Code,COLECTOMY PRTL W/RMV ILIUM
44180,CPT?-Procedure-Code,LAP ENTEROLYSIS
44202,CPT?-Procedure-Code,LPRSCPY INTEST RESECT/ANASTMS SNGL
44204,CPT?-Procedure-Code,LPRSCPY COLECTOMY PRT W/ANASTMS
44205,CPT?-Procedure-Code,LPRSCPY COLECTOMY PRT W/ILEOCOLSTMY
44207,CPT?-Procedure-Code,L COLECTOMY/COLOPROCTOSTOMY
44210,CPT?-Procedure-Code,LAPARO TOTAL PROCTOCOLECTOMY
44213,CPT?-Procedure-Code,LAP MOBIL SPLENIC FL ADD-ON
44238,CPT?-Procedure-Code,LAPAROSCOPE PROC INTESTINE
443,Revenue Code,SPEECH PATH/GROUP
44310,CPT?-Procedure-Code,ILEOSTOMY/JEJUNOSTOMY NON-TUBE
44360,CPT?-Procedure-Code,SMALL INTEST ENDOSCOPY/DIAGNOSTIC
44361,CPT?-Procedure-Code,SMALL INTEST ENDOSCOPY/BIOPSY
44366,CPT?-Procedure-Code,SMALL INTEST ENDOSCOPY FOR BLEEDING
44377,CPT?-Procedure-Code,SMALL INTEST ENDOSCOPY/BIOPSY
44380,CPT?-Procedure-Code,ILEOSCOPY THRU STOMA DIAGNOSTIC
44386,CPT?-Procedure-Code,ENDOSCOPY OF BOWEL POUCH/BIOPSY
44388,CPT?-Procedure-Code,COLONOSCOPY DIAGNOSTIC
44394,CPT?-Procedure-Code,COLONOSCOPY REMOVE LESION W/SNARE
444,Revenue Code,SPEECH PATH/EVAL
44500,CPT?-Procedure-Code,INTRODUCE GI TUBE (MILLER-ABBOTT)
44625,CPT?-Procedure-Code,CLOSE ENTEROSTOMY W/RESEC
44700,CPT?-Procedure-Code,EXCLUSION SMALL INTEST FROM PELVIS
449,Revenue Code,OTHER SPEECH PAT
44950,CPT?-Procedure-Code,REMOVAL OF APPENDIX
44955,CPT?-Procedure-Code,APPENDECTOMY W/OTHER PROCEDURE
44960,CPT?-Procedure-Code,REMOVAL OF RUPTURED APPENDIX
44970,CPT?-Procedure-Code,LAPAROSCOPY APPENDECTOMY
450,Revenue Code,EMERG ROOM
451,Revenue Code,ER/EMTALA
45100,CPT?-Procedure-Code,BIOPSY OF RECTUM
45113,CPT?-Procedure-Code,PARTIAL REMOVAL OF RECTUM
45171,CPT?-Procedure-Code,EXC RECT TUM TRANSANAL PART
452,Revenue Code,ER/BEYOND EMTALA
45300,CPT?-Procedure-Code,PROCTOSIGMOIDOSCOPY/DIAGNOSTIC
45330,CPT?-Procedure-Code,SIGMOIDOSCOPY/DIAGNOSTIC
45331,CPT?-Procedure-Code,SIGMOIDOSCOPY/BIOPSY
45334,CPT?-Procedure-Code,SIGMOIDOSCOPY W/BLEEDING CONTROL
45335,CPT?-Procedure-Code,SIGMOIDOSCOPE W/SUBMUC INJ
45338,CPT?-Procedure-Code,SIGMOIDOSCOPY/REMOVE LESION W/SNARE
45341,CPT?-Procedure-Code,SIGMOIDOSCOPY W/ULTRASOUND EXAM
45378,CPT?-Procedure-Code,COLONOSCOPY DIAGNOSTIC
45380,CPT?-Procedure-Code,COLONOSCOPY/BIOPSY
45381,CPT?-Procedure-Code,COLONOSCOPE SUBMUCOUS INJ
45382,CPT?-Procedure-Code,COLONOSCOPY W/BLEEDING CONTROL
45383,CPT?-Procedure-Code,COLONOSCOPY/REMOVE LESION
45384,CPT?-Procedure-Code,COLONOSCOPY/REMOVE LESION W/CAUTERY
45385,CPT?-Procedure-Code,COLONOSCOPY/REMOVE LESION W/SNARE
45541,CPT?-Procedure-Code,CORRECT RECTAL PROLAPSE
456,Revenue Code,URGENT CARE
459,Revenue Code,OTHER EMERG ROOM
45915,CPT?-Procedure-Code,REMOVE RECTAL OBSTRUCTION
460,Revenue Code,PULMONARY FUNC
46020,CPT?-Procedure-Code,PLACEMENT OF SETON
46040,CPT?-Procedure-Code,DRAINAGE OF RECTAL ABSCESS
46050,CPT?-Procedure-Code,DRAINAGE OF ANAL ABSCESS
46080,CPT?-Procedure-Code,INCISION OF ANAL SPHINCTER
46083,CPT?-Procedure-Code,INCISION OF EXTERNAL HEMORRHOID
461,UNKNOWN Code,UNKNOWN Code
46200,CPT?-Procedure-Code,REMOVAL OF ANAL FISSURE
46220,CPT?-Procedure-Code,REMOVAL OF ANAL TAG
46221,CPT?-Procedure-Code,LIGATION OF HEMORRHOID(S)
46230,CPT?-Procedure-Code,REMOVAL OF ANAL TAGS
46250,CPT?-Procedure-Code,REMOVAL OF EXTERNAL HEMORRHOIDS
46260,CPT?-Procedure-Code,REMOVAL OF HEMORRHOIDS COMPLEX
46261,CPT?-Procedure-Code,REMOVAL OF HEMORRHOIDS & FISSURE
46270,CPT?-Procedure-Code,REMOVE ANAL FISTULA SUBCUTANEOUS
46275,CPT?-Procedure-Code,REMOVE ANAL FISTULA SUBMUSCULAR
46280,CPT?-Procedure-Code,REMOVE ANAL FISTULA COMPLEX/MULT
46320,CPT?-Procedure-Code,REMOVE HEMORRHOID CLOT
