"CSV Output"
"DX_CD","diag_description",
"2949","2949 - SYNDROME ORGANIC BRAIN NOS",
"29500","29500 - SCHIZOPHRENIA SIMPLE UNSPECIFIED",
"29510","29510 - SCHIZOPHRENIA DISORGANIZED UNSPC",
"29512","29512 - SCHIZOPHRENIA DSORGN CHRONIC",
"29514","29514 - SCHIZO DSORGN CHRN W/ACUTE EXACRB",
"29520","29520 - SCHIZOPHRENIA CATATONIC UNSPC",
"29530","29530 - SCHIZOPHRENIA PARANOID UNSPC",
"29531","29531 - SCHIZO PARANOID SUBCHRONIC",
"29532","29532 - SCHIZO PARANOID CHRONIC",
"29533","29533 - SCHIZO PRNOID SBCHRN W/ACUTE EXACRB",
"29534","29534 - SCHIZO PRNOID CHRN W/ACUTE EXACRB",
"29540","29540 - SCHIZOPHRENIC EPISODE ACUTE UNSPC",
"29560","29560 - SCHIZOPHRENIA RESIDUAL UNSPC",
"29562","29562 - SCHIZOPHRENIA RESIDUAL CHRONIC",
"29564","29564 - SCHIZO RESID CHRN W/ACUTE EXACRB",
"29570","29570 - SCHIZO SCHIZO-AFCTV UNSPC",
"29571","29571 - SCHIZO SCHIZO-AFCTV SBCHRN",
"29572","29572 - SCHIZO SCHIZO-AFCTV CHRONIC",
"29574","29574 - SCHIZO-AFCTV CHRN W/ACUTE EXACRB",
"29580","29580 - SCHIZOPHRENIA NEC UNSPECIFIED",
"29584","29584 - SCHIZO NEC CHRONIC W/ACUTE EXACRB",
"29590","29590 - SCHIZOPHRENIA NOS UNSPECIFIED",
"29592","29592 - SCHIZOPHRENIA NOS CHRONIC",
"29593","29593 - SCHIZO NOS SBCHRN W/ACUTE EXACRB",
"29600","29600 - MANIC DISORDER SNGL EPSD UNSPC",
"29601","29601 - MANIC DISORDER SNGL EPSD MILD",
"29602","29602 - MANIC DISORDER SNGL EPSD MODERATE",
"29620","29620 - DPRSV DSORD MAJOR SNGL EPSD UNSPC",
"29621","29621 - DPRSV DSORD MAJOR SNGL EPSD MILD",
"29622","29622 - DPRSV DSORD MAJOR SNGL EPSD MOD",
"29623","29623 - DPRSV DSORD MAJOR SNGL EPSD SVR",
"29624","29624 - DPRSV DSORD MJR SNGL SVR W/PSYCT",
"29625","29625 - DPRSV DSORD MJR SNGLE PRTL RMIS",
"29626","29626 - DPRSV DSORD MJR SNGLE FULL RMIS",
"2963","2963 - DPRSV DSORD MAJOR RECURRENT EPSD",
"29630","29630 - DPRSV DSORD MAJOR RCR UNSPC",
"29631","29631 - DPRSV DSORD MAJOR RECURRENT MILD",
"29632","29632 - DPRSV DSORD MAJOR RECURRENT MOD",
"29633","29633 - DPRSV DSORD MAJOR RCR SEVERE",
"29634","29634 - DPRSV DSORD MJR RCR SVR PSYCT BEHV",
"29635","29635 - DPRSV DSORD MJR RCR PARTIAL RMIS",
"29636","29636 - DPRSV DSORD MJR RCR FULL RMIS",
"29640","29640 - BIPOLAR AFCT DSORD MANIC UNSPC",
"29641","29641 - BIPOLAR AFCT DSORD MANIC MILD",
"29642","29642 - BIPOLAR AFCT DSORD MANIC MODERATE",
"29643","29643 - BIPOLAR AFCT DSORD MANIC SEVERE",
"29644","29644 - BIPOLAR AFCT DSORD MNC SVR W/PSYCT",
"29645","29645 - BIPOLAR AFCT DSORD MNC PRTL RMIS",
"29650","29650 - BPLR AFCTV DSORD DPRSD UNSPC",
"29651","29651 - BPLR AFCTV DSORD DPRSD MILD",
"29652","29652 - BPLR AFCTV DSORD DPRSD MODERATE",
"29653","29653 - BPLR AFCTV DSORD DPRSD SEVERE",
"29654","29654 - BPLR AFCTV DSORD DPRSD SVR W/PSYCT",
"29655","29655 - BPLR AFCTV DSORD DPRSD PRTL RMIS",
"29656","29656 - BPLR AFCTV DSORD DPRSD FULL RMIS",
"29660","29660 - BPLR AFCTV DSORD MIXED UNSPECIFIED",
"29661","29661 - BPLR AFCTV DSORD MIXED MILD",
"29662","29662 - BPLR AFCTV DSORD MIXED MODERATE",
"29663","29663 - BPLR AFCTV DSORD MIXED SEVERE",
"29664","29664 - BPLR AFCTV DSORD MIXED SVR W/PSYCT",
"29665","29665 - BPLR AFCTV DSORD MIXED PRTL RMIS",
"2967","2967 - BIPLR AFCTV DISORDER MIXED NOS",
"29680","29680 - MANIC-DEPRESSIVE PSYCHOSIS NOS",
"29681","29681 - M-D PSYCHO ATYPICAL MANIC DISORDER",
"29682","29682 - M-D PSYCHO ATYPICAL DPRSV DISORDER",
"29689","29689 - MANIC-DEPRESSIVE PSYCHOSIS NEC",
"29690","29690 - AFFECTIVE PSYCHOSIS NOS",
"29699","29699 - AFFECTIVE PSYCHOSIS NEC",
"2971","2971 - PARANOIA",
"2979","2979 - PARANOID STATE NOS",
"2980","2980 - NONORGANIC PSYCHOSIS DEPRESSIVE",
"2981","2981 - NONORGANIC PSYCHOSIS EXCITATIVE",
"2982","2982 - NONORGN PSYCH REACTIVE CONFUSION",
"2988","2988 - NONORGAN PSYCH REACTIVE OTH/UNSPC",
"2989","2989 - NONORGANIC PSYCHOSIS NOS",
"29900","29900 - AUTISM INFANTILE CURRENT/ACTIVE",
"29980","29980 - PSYCHOSIS EARLY CHLDHD NEC ACTIVE",
"29990","29990 - PSYCHOSIS EARLY CHLDHD NOS ACTIVE",
"30000","30000 - ANXIETY STATE NOS",
"30001","30001 - PANIC DISORDER",
"30002","30002 - ANXIETY DISORDER GENERALIZED",
"30009","30009 - ANXIETY STATE NEC",
"30010","30010 - HYSTERIA NOS",
"30011","30011 - CONVERSION DISORDER",
"30014","30014 - MULTIPLE PERSONALITY",
"30019","30019 - ILLNESS FACTITIOUS NEC/NOS",
"30020","30020 - PHOBIA NOS",
"30021","30021 - AGORAPHOBIA W/PANIC ATTACKS",
"30022","30022 - AGORAPHOBIA W/O PANIC ATTACKS",
"30023","30023 - PHOBIA SOCIAL",
"30029","30029 - PHOBIAS OTHER ISOLATED OR SIMPLE",
"3003","3003 - DISORDERS OBSESSIVE-COMPULSIVE",
"3004","3004 - DEPRESSION NEUROTIC",
"3005","3005 - NEURASTHENIA",
"3006","3006 - SYNDROME DEPERSONALIZATION",
"30082","30082 - DISORDER UNDIFF SOMATOFORM",
"30089","30089 - DISORDER NEUROTIC NEC",
"3009","3009 - DISORDER NEUROTIC NOS",
"3011","3011 - DISORDER AFFECTIVE PERSONALITY",
"30110","30110 - DISORDER AFFECTIVE PERSONALITY NOS",
"30112","30112 - DISORDER CHRN DEPRESSIVE PRSNLTY",
"30113","30113 - DISORDER CYCLOTHYMIC PERSONALITY",
"3013","3013 - DISORDER EXPLOSIVE PERSONALITY",
"30151","30151 - DSORD CHRN FCTIOUS ILL W/PHYS SYMP",
"3016","3016 - DISORDER DEPENDENT PERSONALITY",
"3017","3017 - DISORDER ANTISOCIAL PERSONALITY",
"30183","30183 - DISORDER BORDERLINE PERSONALITY",
"30189","30189 - DISORDER PERSONALITY NEC",
"3019","3019 - DISORDER PERSONALITY NOS",
"30270","30270 - DYSFUNCTION PSYCHOSEXUAL NOS",
"30271","30271 - INHIBITED SEXUAL DESIRE",
"30272","30272 - INHIBITED SEXUAL EXCITEMENT",
"30274","30274 - INHIBITED MALE ORGASM",
"30275","30275 - PREMATURE EJACULATION",
"30279","30279 - DYSFUNCTION PSYCHOSEXUAL NEC",
"30285","30285 - DISORDER GENDER IDENTITY ADULT",
"3029","3029 - DISORDER PSYCHOSEXUAL NOS",
"30300","30300 - INTOX ACUTE ALCOHOLIC UNSPC",
"30301","30301 - INTOX ACUTE ALCOHOLIC CONTINUOUS",
"30302","30302 - INTOX ACUTE ALCOHOLIC EPISODIC",
"3039","3039 - DEPENDENCE ALCOHOL",
"30390","30390 - DPND ALCOHOL NEC/NOS UNSPECIFIED",
"30391","30391 - DPDN ALCOHOL NEC/NOS CONTINUOUS",
"30392","30392 - DPDN ALCOHOL NEC/NOS EPISODIC",
"30393","30393 - DPDN ALCOHOL NEC/NOS IN REMISSION",
"3040","3040 - DEPENDENCE OPIOID TYPE",
"30400","30400 - DEPENDENCE OPIOID UNSPECIFIED",
"30401","30401 - DEPENDENCE OPIOID CONTINUOUS",
"30403","30403 - DEPENDENCE OPIOID IN REMISSION",
"30410","30410 - DPDN BARB/SED UNSPEC",
"30411","30411 - DPDN BARB/SED CONTINUOUS",
"30420","30420 - DEPENDENCE COCAINE UNSPECIFIED",
"30421","30421 - DEPENDENCE COCAINE CONTINUOUS",
"30422","30422 - DEPENDENCE COCAINE EPISODIC",
"30423","30423 - DEPENDENCE COCAINE IN REMISSION",
"30430","30430 - DEPENDENCE CANNABIS UNSPECIFIED",
"30431","30431 - DEPENDENCE CANNABIS CONTINUOUS",
"30433","30433 - DEPENDENCE CANNABIS IN REMISSION",
"30440","30440 - DEPENDENCE AMPHETAMINE UNSPC",
"30441","30441 - DEPENDENCE AMPHETAMINE CONTINUOUS",
"30442","30442 - DEPENDENCE AMPHETAMINE EPISODIC",
"30460","30460 - DEPENDENCE DRUG NEC UNSPECIFIED",
"30470","30470 - DPDN OPIOID CMB W/OTH DRUG UNSPC",
"30480","30480 - DPDN CMB DRUG W/O OPIOID UNSPC",
"30481","30481 - DPDN CMB DRUG W/O OPIOID CNTNS",
"30483","30483 - DPDN CMB DRUG W/O OPIOID IN RMIS",
"30490","30490 - DEPENDENCE DRUG NOS UNSPECIFIED",
"30491","30491 - DEPENDENCE DRUG NOS CONTINUOUS",
"30493","30493 - DEPENDENCE DRUG NOS IN REMISSION",
"30500","30500 - ABUSE ALCOHOL UNSPECIFIED",
"30501","30501 - ABUSE ALCOHOL CONTINUOUS",
"30502","30502 - ABUSE ALCOHOL EPISODIC",
"30503","30503 - ABUSE ALCOHOL IN REMISSION",
"3051","3051 - DISORDER TOBACCO USE",
"30520","30520 - ABUSE CANNABIS UNSPECIFIED",
"30540","30540 - ABUSE BARB/SED UNSPECIFIED",
"30541","30541 - ABUSE BARB/SED CONTINUOUS",
"30550","30550 - ABUSE OPIOID UNSPECIFIED",
"30551","30551 - ABUSE OPIOID CONTINUOUS",
"30553","30553 - ABUSE OPIOID IN REMISSION",
"30560","30560 - ABUSE COCAINE UNSPECIFIED",
"30561","30561 - ABUSE COCAINE CONTINUOUS",
"30562","30562 - ABUSE COCAINE EPISODIC",
"30563","30563 - ABUSE COCAINE IN REMISSION",
"30570","30570 - ABUSE AMPHETAMINE UNSPECIFIED",
"30571","30571 - ABUSE AMPHETAMINE CONTINUOUS",
"30572","30572 - ABUSE AMPHETAMINE EPISODIC",
"30590","30590 - ABUSE OTH/MIXED/UNSPC DRUG UNSPC",
"30591","30591 - ABUSE OTH/MIXED/UNSPC DRUG CNTNS",
"30592","30592 - ABUSE OTH/MIXED/UNSPC DRUG EPSD",
"30593","30593 - ABUSE OTH/MIXED/UNSPC DRUG REMIS",
"3063","3063 - DISORDER PSYCHOGENIC SKIN",
"3064","3064 - DISORDER PSYCHOGENIC GI",
"3067","3067 - DISORDER PSYCHOGENIC SENSORY",
"3068","3068 - DISORDER PSYCHOGENIC NEC",
"3070","3070 - STAMMERING AND STUTTERING",
"3071","3071 - ANOREXIA NERVOSA",
"30720","30720 - TIC DISORDER NOS",
"30721","30721 - TIC DSORD OF CHILDHOOD TRANSIENT",
"30723","30723 - GILLES DE LA TOURETTE DISORDER",
"30740","30740 - DISORDER NONORGANIC SLEEP NOS",
"30741","30741 - INSOMNIA TRANSIENT",
"30742","30742 - INSOMNIA PERSISTENT",
"30744","30744 - HYPERSOMNIA PERSISTENT",
"30746","30746 - SOMNAMBULISM/NIGHT TERRORS",
"30747","30747 - DYSFUNCTION SLEEP STATE NEC",
"30748","30748 - INTRUSION REPETITIVE SLEEP",
"30749","30749 - DISORDER NONORGANIC SLEEP NEC",
"3075","3075 - DISORDERS EATING",
"30750","30750 - DISORDER EATING NOS",
"30752","30752 - PICA",
"30753","30753 - RUMINATION PSYCHOGENIC",
"30759","30759 - DISORDER EATING NEC",
"3076","3076 - ENURESIS",
"3077","3077 - ENCOPRESIS",
"30780","30780 - PAIN PSYCHOGENIC NOS",
"30781","30781 - HEADACHE TENSION",
"30789","30789 - PAIN PSYCHOGENIC NEC",
"3079","3079 - SYMPTOMS/SYNDROMES NEC/NOS SPECIAL",
"3080","3080 - REACT ACUTE STRESS W/EMTNL DISTURB",
"3081","3081 - REACT ACUTE STRESS W/CNSCS DISTURB",
"3082","3082 - REACT ACUTE STRESS W/PSYCHOMOTOR",
"3083","3083 - REACTION ACUTE STRESS NEC",
"3084","3084 - REACT ACUTE STRESS W/MIXED DSORD",
"3089","3089 - REACTION ACUTE STRESS NOS",
"3090","3090 - REACTION BRIEF DEPRESSIVE",
"3091","3091 - REACTION PROLONGED DEPRESSIVE",
"30921","30921 - DISORDER SEPARATION ANXIETY",
"30924","30924 - REACTION ADJUSTMENT W/ANXIOUS MOOD",
"30928","30928 - REACT ADJUSTMENT W/MIXED EMOTION",
"30929","30929 - REACTION ADJUSTMENT EMOTIONAL NEC",
"3093","3093 - REACT ADJUSTMENT W/CONDUCT DISTURB",
"3094","3094 - REACT ADJUSTMENT W/MIXED DISTURB",
"30981","30981 - DISORDER PROLONGED PSTTRAUM STRESS",
"3099","3099 - REACTION ADJUSTMENT NOS",
"3100","3100 - SYNDROME FRONTAL LOBE",
"3101","3101 - SYNDROME ORGANIC PERSONALITY",
"3102","3102 - SYNDROME POSTCONCUSSION",
"3109","3109 - SYNDROME NONPSYCHOTIC BRAIN NOS",
"311","311 - DISORDER DEPRESSIVE NEC",
"3120","3120 - DSORD UNDERSOCIALIZED CONDUCT AGR",
"31200","31200 - DSORD UNDRSC CNDCT AGR UNSPC",
"31203","31203 - DSORD UNDRSC CNDCT AGR SEVERE",
"31230","31230 - DISORDER OF IMPULSE CONTROL NOS",
"31231","31231 - GAMBLING PATHOLOGICAL",
"31239","31239 - DISORDER OF IMPULSE CONTROL NEC",
"31282","31282 - DISORDER CONDUCT ADOLESCENT ONSET",
"31289","31289 - DISORDER CONDUCT OTHER",
"3129","3129 - DISTURBANCE CONDUCT NOS",
"31381","31381 - DISORDER OPPOSITIONAL",
"31389","31389 - DSTURB OTH/MIXED EMTNL CHLDHD NEC",
"3139","3139 - DSTURB OTH/MIXED EMTNL CHLDHD NOS",
"31400","31400 - DISORDER ATN DEFICIT W/O HYPRACT",
"31401","31401 - DISORDER ATN DEFICIT W/HYPRACT",
"3141","3141 - HYPERKINESIS W/DEVELOPMENTAL DELAY",
"3149","3149 - SYNDROME HYPERKINETIC NOS",
"3152","3152 - LEARNING DIFFICULTY OTHER SPEC",
"31539","31539 - DSORD DVLPMNTL SPEECH/LANGUAGE NEC",
"3159","3159 - DEVELOPMENT DELAY NOS",
"316","316 - PSYGNC FACTORS W/OTHER DISEASES",
"317","317 - RETARDATION MENTAL MILD",
"3180","3180 - RETARDATION MENTAL MODERATE",
"3182","3182 - RETARDATION MENTAL PROFOUND",
"319","319 - RETARDATION MENTAL NOS",
"3201","3201 - MENINGITIS PNEUMOCOCCAL",
"3202","3202 - MENINGITIS STREPTOCOCCAL",
"3209","3209 - MENINGITIS D/T BACTERIA NOS",
"3212","3212 - MENINGITIS D/T VIRAL DISEASES NEC",
"3218","3218 - MENG D/T OTH NONBACT ORGANISM CE",
"3229","3229 - MENINGITIS NOS",
"32351","32351 - ENCEPHAL/ENCEPHALOMY AFT IMMUNIZ",
"32361","32361 - INF ACUTE DISS ENCEPHALOMYE (ADEM)",
"32382","32382 - OTH CAUSES MYELITIS",
"3239","3239 - ENCEPHALITIS NOS",
"3240","3240 - ABSCESS INTRACRANIAL",
"3241","3241 - ABSCESS INTRASPINAL",
"3249","3249 - ABSCESS (INTRA)CRANIAL/SPINAL NOS",
"325","325 - PHLEBITIS INTRACRANIAL VENOUS SINUS",
"32700","32700 - ORGANIC INSOMNIA UNSPEC",
"32701","32701 - INSOMNIA MED COND CLASS ELSEWHERE",
"32702","32702 - INSOMNIA MENTAL DISORDER",
"32709","32709 - OTHER ORGANIC INSOMNIA",
"32710","32710 - ORGANIC HYPERSOMNIA UNSPEC",
"32712","32712 - IDIOPATH HYPERSOMNIA W/O LONG SLEE",
"32713","32713 - RECURRENT HYPERSOMNIA",
"32714","32714 - HYPERSOMNIA MED CONDITION",
"32719","32719 - OTHER ORGANIC HYPERSOMNIA",
"3272","3272 - ORGANIC SLEEP APNEA",
"32720","32720 - ORGANIC SLEEP APNEA UNSPEC",
"32721","32721 - PRIMARY CENTRAL SLEEP APNEA",
"32722","32722 - HIGH ALTITUDE PERIODIC BREATHING",
"32723","32723 - OBSTRUCTIVE SLEEP APNEA",
"32724","32724 - IDIOPATH SLEEP NON OBST ALV HYPOVE",
"32726","32726 - SLEEP HYPOVENT/HYPOX CLASS ELSEWHE",
"32727","32727 - CENTRAL SLEEP APNEA CLASS ELSEWHER",
"32729","32729 - OTHER ORGANIC SLEEP APNEA",
"32730","32730 - CIRC RHYTHM DISORDER UNSPEC",
"32731","32731 - CIRC RHYTHM DISORD DELAYED PHASE T",
"32732","32732 - CIRC RHYTHM DISORD ADVANCED PHASE",
"32733","32733 - CIRC RHYTHM DISORD IRREG SLEEP WAK",
"32736","32736 - CIRC RHYTHM DISORD SHIFT WORK TYPE",
"32739","32739 - OTHER CIRCADIAN RHYTHM SLEEP DISOR",
"32740","32740 - ORGANIC PARSOMNIA UNSPEC",
"32741","32741 - CONFUSIONAL AROUSALS",
"32742","32742 - REM SLEEP BEHAVIOR DISORDER",
"32751","32751 - PERIODIC LIMB MOVEMENT DISORDER",
"32752","32752 - SLEEP RELATED LEG CRAMPS",
"32753","32753 - SLEEP RELATED BRUXISM",
"3278","3278 - OTHER ORGANIC SLEEP DISORDERS",
"3300","3300 - LEUKODYSTROPHY",
"331","331 - DEGENERATION OTHER CEREBRAL",
"3310","3310 - ALZHEIMERS DISEASE",
"33119","33119 - OTH FRONTOTEMPORAL DEMENTIA",
"3312","3312 - DEGENERATION OF BRAIN SENILE",
"3313","3313 - HYDROCEPHALUS COMMUNICATING",
"3314","3314 - HYDROCEPHALUS OBSTRUCTIVE",
"3315","3315 - IDIOPATHIC NORM PRESS HYDROCEPHALU",
"33182","33182 - DEMENTIA W LEWY BODIES",
"33183","33183 - MILD COGNITIVE IMPAIRMENT STATED",
"33189","33189 - DEGENERATION CEREBRAL NEC",
"3319","3319 - DEGENERATION CEREBRAL NOS",
"3320","3320 - PARALYSIS AGITANS",
"3321","3321 - PARKINSONISM SECONDARY",
"3330","3330 - DEGENERATION BASAL GANGLIA NEC",
"3331","3331 - TREMOR NEC",
"3332","3332 - MYOCLONUS",
"3333","3333 - TICS ORGANIC ORIGIN",
"3335","3335 - CHOREA NEC",
"3336","3336 - DYSTONIA IDIOPATHIC TORSION",
"33372","33372 - ACUTE DYSTONIA DUE TO DRUGS",
"33379","33379 - OTH ACQUIRED TORSION DYSTONIA",
"33381","33381 - BLEPHAROSPASM",
"33382","33382 - DYSKINESIA OROFACIAL",
"33383","33383 - SPASMODIC TORTICOLLIS",
"33385","33385 - SUBACUTE DYSKINESIA DUE TO DRUGS",
"33390","33390 - DISEASE EXTRAPYRAMIDAL NOS",
"33391","33391 - SYNDROME STIFF-MAN",
"33394","33394 - RESTLESS LEGS SYNDROME",
"33399","33399 - DISEASE EXTRAPYRAMIDAL NEC",
"3343","3343 - ATAXIA CEREBELLAR NEC",
"3344","3344 - ATAXIA CEREBELLAR IN DISEASE CE",
"33510","33510 - ATROPHY SPINAL MUSCULAR NOS",
"33520","33520 - SCLEROSIS AMYOTROPHIC LATERAL",
"33521","33521 - ATROPHY PROGRESSIVE MUSCULAR",
"3359","3359 - DISEASE ANTERIOR HORN CELL NOS",
"3360","3360 - SYRINGOMYELIA",
"3361","3361 - MYELOPATHIES VASCULAR",
"3363","3363 - MYELOPATHY IN OTHER DISEASES CE",
"3368","3368 - MYELOPATHY NEC",
"3369","3369 - DISEASE SPINAL CORD NOS",
"33700","33700 - IDIOPATH PERIPH AUTO NEUROPATH UNS",
"33701","33701 - CAROTID SINUS SYNDROM",
"33709","33709 - OTH IDIOPATH PERIPH AUTO NEUROPAT",
"3371","3371 - NEURP PRIPH AUTONOMIC IN DSORD CE",
"33720","33720 - DYSTROPHY REFLEX SYMPATHETIC UNSPC",
"33721","33721 - DYSTROPHY REFLEX SYMPATH UP LIMB",
"33722","33722 - DYSTROPHY REFLEX SYMPATH LWR LIMB",
"3379","3379 - DISEASE AUTONOMIC NRV SYSTEM NEC",
"3380","3380 - CENTRAL PAIN SYND",
"3381","3381 - ACUTE PAIN",
"33811","33811 - ACUTE PAIN DUE TO TRAUMA",
"33812","33812 - ACUTE POST-THORACOTOMY PAIN",
"33818","33818 - OTH ACUTE POSTOPERATIVE PAIN",
"33819","33819 - OTH ACUTE PAIN",
"3382","3382 - CHRONIC PAIN",
"33821","33821 - CHRONIC PAIN DUE TO TRAUMA",
"33822","33822 - CHRONIC POST-THORACOTOMY PAIN",
"33828","33828 - OTH CHRONIC POSTOPERATIVE PAIN",
"33829","33829 - OTH CHRONIC PAIN",
"3383","3383 - NEOPLASM RELATED PAIN (ACUTE)(CHR)",
"3384","3384 - CHRONIC PAIN SYND",
"33900","33900 - CLUSTER HEADACHE SYNDROME UNSPE",
"33909","33909 - OTH TRIGEMINAL AUTONOMIC CEPHALGIA",
"33910","33910 - TENSION TYPE HEADACHE UNSPE",
"33912","33912 - CHRONIC TENSION TYPE HEADACH",
"33920","33920 - POST-TRAUMATIC HEADACHE UNSPE",
"33921","33921 - ACUTE POST-TRAUMATIC HEADACH",
"33922","33922 - CHRONIC POST-TRAUMATIC HEADACH",
"3393","3393 - DRUG INDUCED HEADACHE NE",
"33941","33941 - HEMICRANIA CONTINU",
"33942","33942 - NEW DAILY PERSISTENT HEADACH",
"33944","33944 - OTH COMPLICATED HEADACHE SYNDROM",
"33989","33989 - OTH HEADACHE SYNDROME",
"340","340 - SCLEROSIS MULTIPLE",
"3411","3411 - SCHILDERS DISEASE",
"34120","34120 - ACUTE (TRANSVERSE) MYELITIS NOS",
"34122","34122 - IDIOPATHIC TRANSVERSE MYELITIS",
"3418","3418 - DISEASES OTH DEMYELINATING CNS NEC",
"3419","3419 - DISEASE DEMYELINATING CNS NOS",
"34200","34200 - HEMIPLEGIA FLACCID SIDE NOS",
"34202","34202 - HEMIPLEGIA FLCD NONDOMINANT SIDE",
"34210","34210 - HEMIPLEGIA SPASTIC SIDE NOS",
"34211","34211 - HEMIPLEGIA SPASTIC DOMINANT SIDE",
"34212","34212 - HEMIPLEGIA SPASTIC NONDOMINANT SIDE",
"34280","34280 - HEMIPLEGIA NEC SIDE NOS",
"34290","34290 - HEMIPLEGIA NOS SIDE NOS",
"34291","34291 - HEMIPLEGIA NOS DOMINANT SIDE",
"34292","34292 - HEMIPLEGIA NOS NONDOMINANT SIDE",
"3430","3430 - PALSY INFANTILE CEREBRAL DIPLEGIC",
"3431","3431 - PALSY INFANTILE CER HEMIPLEGIC",
"3432","3432 - PALSY INFANTILE CER QUADRIPLEGIC",
"3438","3438 - PALSY INFANTILE CEREBRAL NEC",
"3439","3439 - PALSY INFANTILE CEREBRAL NOS",
"34400","34400 - QUADRIPLEGIA NOS",
"34402","34402 - QUADRIPLEGIA C1-C4 INCOMPLETE",
"34409","34409 - QUADRIPLEGIA NEC",
"3441","3441 - PARAPLEGIA",
"34430","34430 - MONOPLEGIA LOWER LIMB SIDE UNSPC",
"34440","34440 - MONOPLEGIA UP LIMB SIDE UNSPC",
"34461","34461 - SYND CAUDA EQUINA W/NEURO BLADDER",
"3449","3449 - PARALYSIS NOS",
"34500","34500 - EPIL GNRLZD NCNVL W/O INTRCT EPIL",
"34501","34501 - EPIL GNRLZD NCNVL W/INTRCT EPIL",
"34510","34510 - EPIL GNRLZD CNVUL W/O INTRCT EPIL",
"34511","34511 - EPIL GNRLZD CNVUL W/INTRCT EPIL",
"3452","3452 - EPILEPSY PETIT MAL STATUS",
"3453","3453 - EPILEPSY GRAND MAL STATUS",
"34540","34540 - EPIL PSYCHOMOTOR W/O INTRCT EPIL",
"34541","34541 - EPIL PSYCHOMOTOR W/INTRCT EPIL",
"34550","34550 - EPILEPSY PRT W/O INTRCT EPILEPSY",
"34551","34551 - EPILEPSY PRT W/INTRCT EPILEPSY",
"34580","34580 - EPILEPSY NEC W/O INTRACT EPILEPSY",
"3459","3459 - EPILEPSY NOS",
"34590","34590 - EPILEPSY NOS W/O INTRACT EPILEPSY",
"34591","34591 - EPILEPSY NOS W/INTRACT EPILEPSY",
"34600","34600 - MIGRAINE CLASSICAL NOT INTRACTABLE",
"34601","34601 - MIGRAINE CLASSICAL INTRACTABLE",
"34602","34602 - MIGRAINE W/AURA W/O INTRAC",
"34610","34610 - MIGRAINE COMMON NOT INTRACTABLE",
"34611","34611 - MIGRAINE COMMON INTRACTABLE",
"34612","34612 - MIGRAINE W/O AURA W/O INTRAC",
"34620","34620 - MIGRAINE VARIANTS NOT INTRACTABLE",
"34621","34621 - MIGRAINE VARIANTS INTRACTABLE",
"34630","34630 - HEMIPLEGIC MIGRAINE W/O INTRAC",
"34670","34670 - CHR MIGRAINE W/O AURA W/O INTRAC",
"34671","34671 - CHR MIGRAINE W/O AURA W/INTRAC",
"34672","34672 - CHR MIGRAINE W/O AURA W/O INTRAC",
"34673","34673 - CHR MIGRAINE W/O AURA W/INTRAC",
"34680","34680 - MIGRAINE NEC NOT INTRACTABLE",
"34681","34681 - MIGRAINE NEC INTRACTABLE",
"34682","34682 - OTH MIGRAINE W/O INTRAC",
"3469","3469 - MIGRAINE NOS",
"34690","34690 - MIGRAINE NOS NOT INTRACTABLE",
"34691","34691 - MIGRAINE NOS INTRACTABLE",
"34692","34692 - MGR NOS WO NTRC W ST MGR",
"34693","34693 - MGRN NOS W NTRC W ST MGR",
"34700","34700 - NARCOLEPSY W/O CATAPLEXY",
"34701","34701 - NARCOLEPSY W/CATAPLEXY",
"34710","34710 - NARCOLEPSY W/O CATAPLEXY",
"3480","3480 - CYSTS CEREBRAL",
"3481","3481 - DAMAGE ANOXIC BRAIN",
"3482","3482 - HYPERTENSION BENIGN INTRACRANIAL",
"34830","34830 - ENCEPHALOPATHY UNSPECIFIED",
"34831","34831 - METABOLIC ENCEPHALOPATHY",
"34839","34839 - OTHER ENCEPHALOPATHY",
"3484","3484 - COMPRESSION OF BRAIN",
"3485","3485 - EDEMA CEREBRAL",
"34881","34881 - TEMPORAL SCLEROSIS",
"34889","34889 - BRAIN CONDITIONS NEC",
"3489","3489 - BRAIN CONDITIONS NOS",
"3490","3490 - REACTION LUMBAR PUNCTURE",
"3492","3492 - DISORDER OF MENINGES NEC",
"34931","34931 - ACCIDENTAL PUNCT DURA DURING PRO",
"34939","34939 - OTH DURAL TEA",
"34981","34981 - RHINORRHEA CEREBROSPINAL FLUID",
"34982","34982 - ENCEPHALOPATHY TOXIC",
"34989","34989 - DISORDER NERVOUS SYSTEM NEC",
"3499","3499 - DISORDER NERVOUS SYSTEM NOS",
"3501","3501 - NEURALGIA TRIGEMINAL",
"3502","3502 - PAIN ATYPICAL FACE",
"3508","3508 - DISORDER TRIGEMINAL NERVE NEC",
"3509","3509 - DISORDER TRIGEMINAL NERVE NOS",
"351","351 - DISORDER FACIAL NERVE",
"3510","3510 - BELLS PALSY",
"3518","3518 - DISORDER FACIAL NERVE NEC",
"3519","3519 - DISORDER FACIAL NERVE NOS",
"3523","3523 - DISORDER PNEUMOGASTRIC NERVE",
"3529","3529 - DISORDER CRANIAL NERVE NOS",
"3530","3530 - LESIONS BRACHIAL PLEXUS",
"3531","3531 - LESIONS LUMBOSACRAL PLEXUS",
"3532","3532 - LESIONS CERVICAL ROOT NEC",
"3533","3533 - LESIONS THORACIC ROOT NEC",
"3534","3534 - LESIONS LUMBOSACRAL ROOT NEC",
